Gene	Subtype
PTPRA	Classical
ELOVL2	Classical
SOX9	Classical
MLC1	Classical
CENTD1	Classical
PAX6	Classical
ARNTL	Classical
BBS1	Classical
DENND2A	Classical
SGEF	Classical
PLCG1	Classical
VAV3	Classical
ZHX3	Classical
RASGRP1	Classical
BBOX1	Classical
EYA2	Classical
ZC3H14	Classical
C14orf159	Classical
ACSL3	Classical
LHFP	Classical
MYO6	Classical
NCOA1	Classical
CDH4	Classical
PLCE1	Classical
USP8	Classical
METTL8	Classical
ACSBG1	Classical
TP53BP2	Classical
FGFR3	Classical
SLC20A2	Classical
CST3	Classical
ZFHX4	Classical
ZNF45	Classical
DTNA	Classical
SEPT11	Classical
TJP1	Classical
MEOX2	Classical
ZNF211	Classical
SALL1	Classical
UPF1	Classical
STXBP3	Classical
MYO5C	Classical
MOSC2	Classical
KIAA0329	Classical
KIAA0355	Classical
SUOX	Classical
EGFR	Classical
PPARGC1A	Classical
SLC4A4	Classical
POLRMT	Classical
SPRY2	Classical
GRIK1	Classical
RBCK1	Classical
LPIN2	Classical
C5orf4	Classical
PNPLA6	Classical
NPEPL1	Classical
ST5	Classical
BCKDHB	Classical
PHKB	Classical
CAMK2B	Classical
BAG5	Classical
SCAMP4	Classical
SLC3A2	Classical
MAP4	Classical
SSFA2	Classical
TMEM131	Classical
PTPN11	Classical
VAPB	Classical
SLTM	Classical
S100A11	Mesenchymal
ARPC1B	Mesenchymal
CTSC	Mesenchymal
NPC2	Mesenchymal
GLIPR1	Mesenchymal
VDR	Mesenchymal
BCL3	Mesenchymal
PLAUR	Mesenchymal
PRSS23	Mesenchymal
TGFBI	Mesenchymal
LY96	Mesenchymal
RAB27A	Mesenchymal
P4HA2	Mesenchymal
TNFAIP8	Mesenchymal
CLEC2B	Mesenchymal
IGFBP6	Mesenchymal
S100A4	Mesenchymal
BACE2	Mesenchymal
RUNX1	Mesenchymal
CAV1	Mesenchymal
TDO2	Mesenchymal
GCNT1	Mesenchymal
IL7R	Mesenchymal
ITGB1	Mesenchymal
FTL	Mesenchymal
DKK1	Mesenchymal
SLPI	Mesenchymal
SOCS3	Mesenchymal
ACPP	Mesenchymal
LOX	Mesenchymal
CDCP1	Mesenchymal
COL1A2	Mesenchymal
IKBKE	Mesenchymal
SLC16A3	Mesenchymal
SYNGR2	Mesenchymal
SDC1	Mesenchymal
CD72	Mesenchymal
CNN2	Mesenchymal
LUM	Mesenchymal
PTGS2	Mesenchymal
FHL2	Mesenchymal
BNC2	Mesenchymal
COL5A1	Mesenchymal
PDK3	Mesenchymal
ANPEP	Mesenchymal
COL15A1	Mesenchymal
LGALS8	Mesenchymal
SFT2D2	Mesenchymal
ECGF1	Mesenchymal
UAP1	Mesenchymal
TGM2	Mesenchymal
CXCL6	Mesenchymal
LOXL2	Mesenchymal
FAP	Mesenchymal
PTGES	Mesenchymal
FTH1	Mesenchymal
DSC2	Mesenchymal
BST1	Mesenchymal
FTHP1	Mesenchymal
CTSW	Mesenchymal
LOC57228	Mesenchymal
DYRK3	Mesenchymal
PAPPA	Mesenchymal
DCBLD2	Mesenchymal
IL1A	Mesenchymal
CMKLR1	Mesenchymal
NFKB2	Mesenchymal
AFP	Mesenchymal
ITGBL1	Mesenchymal
CPZ	Mesenchymal
TMSL8	Proneural
MLLT11	Proneural
HN1	Proneural
RAB33A	Proneural
MYT1	Proneural
FAM77C	Proneural
HOXD3	Proneural
HDAC2	Proneural
KLRC3	Proneural
C1QL1	Proneural
LOC81691	Proneural
NPPA	Proneural
MNX1	Proneural
CA10	Proneural
PTTG1	Proneural
HRASLS	Proneural
UGT8	Proneural
PFN2	Proneural
MTSS1	Proneural
TBPL1	Proneural
EPHB1	Proneural
TCP1	Proneural
DCTN3	Proneural
PAK7	Proneural
PTTG3	Proneural
ERBB3	Proneural
RASL11B	Proneural
SOX10	Proneural
H2AFZ	Proneural
SMPD3	Proneural
MYB	Proneural
SLC1A1	Proneural
CAMKV	Proneural
NARF	Proneural
C2orf27	Proneural
CDKN1C	Proneural
ZNF804A	Proneural
PDGFRA	Proneural
BCL11A	Proneural
ANKS1B	Proneural
NDUFB11	Proneural
NMU	Proneural
DYNC1I1	Proneural
JPH3	Proneural
GABRA3	Proneural
FA2H	Proneural
MAST1	Proneural
IL1RAPL1	Proneural
B4GALNT1	Proneural
C20orf42	Proneural
SIM2	Proneural
GPR23	Proneural
TNRC4	Proneural
ACOT7	Proneural
REC8	Proneural
SLC17A6	Proneural
MAGEL2	Proneural
BRSK2	Proneural
PKMYT1	Proneural
KLRK1	Proneural
DCT	Proneural
SUSD5	Proneural
GABRB3	Proneural
GBX2	Proneural
CENPJ	Proneural
KLRC4	Proneural
GRID2	Proneural
CENTG1	Proneural
DAZ4	Proneural
DAZ1	Proneural
